Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,,,
2015-11-18,36.7485237121582,0.0,36.81854397198697,36.10294002332847,36.1317460422386,0.0,33686000
2015-11-19,36.66956329345703,0.0,36.847840068838714,36.62089275627522,36.685949722953474,0.0,26542000
2015-11-20,37.572879791259766,0.0,37.638429294519106,36.897501295681266,37.07280008862983,0.0,44246000
2015-11-23,37.54208755493164,0.0,37.876200196136615,37.33550110741401,37.6150895662798,0.0,28290000
2015-11-24,37.159706115722656,0.0,37.50727646748334,36.630824197380264,37.34443894120362,0.0,46662000
2015-11-25,37.15325164794922,0.0,37.34444054494559,37.049462090573,37.15275531911749,0.0,22442000
2015-11-27,37.25802993774414,0.0,37.41446064496047,37.120471090454295,37.16864150344471,0.0,16770000
2015-11-30,36.87763595581055,0.0,37.48994278983634,36.81158633643085,37.1860228524669,0.0,41952000
2015-12-01,38.091331481933594,0.0,38.18617954130079,37.0812417050161,37.101602553104264,0.0,42692000
2015-12-02,37.85991287231445,0.0,38.53404864581425,37.690077486584656,38.18369733287489,0.0,44608000
2015-12-03,37.371253967285156,0.0,38.18841195279506,37.0281051268898,38.04017635181826,0.0,51812000
2015-12-04,38.07991027832031,0.0,38.163338990212004,37.24512304178442,37.39906833795078,0.0,55146000
2015-12-07,37.90311813354492,0.0,38.17525788959384,37.49789405006138,38.1275837994011,0.0,36246000
2015-12-08,37.85942077636719,0.0,37.98009689013331,37.45369655047918,37.63694420105254,0.0,36590000
2015-12-09,37.3250732421875,0.0,37.95178116839294,36.59958830860592,37.70050240335898,0.0,54000000
2015-12-10,37.21830368041992,0.0,37.5356320775501,36.93871900595957,37.3866538684455,0.0,39768000
2015-12-11,36.692405700683594,0.0,37.032080281076546,36.587127153781886,36.80612562673731,0.0,44488000
2015-12-14,37.134376525878906,0.0,37.18205061092702,35.96239649504891,36.83740899348151,0.0,48250000
2015-12-15,36.917362213134766,0.0,37.646374535200536,36.89799781148999,37.39410309729879,0.0,53324000
2015-12-16,37.64687728881836,0.0,37.771027713663806,36.72046612148792,37.24512745363353,0.0,39866000
2015-12-17,37.216819763183594,0.0,37.874815467751155,37.19546625485779,37.86190333922483,0.0,31068000
2015-12-18,36.71425247192383,0.0,37.45021715865734,36.65664802043581,37.07180622724002,0.0,62974000
2015-12-21,37.134376525878906,0.0,37.24511846594657,36.748516886400616,37.05293313938965,0.0,30514000
2015-12-22,37.245121002197266,0.0,37.48597308777971,37.02314077815778,37.32706072305446,0.0,27308000
2015-12-23,37.26051712036133,0.0,37.454191458671275,36.947163119338946,37.41744417968406,0.0,31318000
2015-12-24,37.16566467285156,0.0,37.31216503514641,37.077272673153146,37.22277658898761,0.0,10544000
2015-12-28,37.866371154785156,0.0,37.890210094454886,37.22128762871272,37.39013036670413,0.0,30306000
2015-12-29,38.56608581542969,0.0,38.733935899484194,38.06103899915617,38.07395112697112,0.0,35300000
2015-12-30,38.28798294067383,0.0,38.61574181818027,38.08437825303432,38.56608241549523,0.0,25866000
2015-12-31,37.686100006103516,0.0,38.213489112928066,37.65928309710982,38.213489112928066,0.0,30018000
2016-01-04,36.83989334106445,0.0,36.95013896043478,36.31439099015841,36.897501583642146,0.0,65456000
2016-01-05,36.87664031982422,0.0,37.34443586829785,36.68097691030585,37.06882185041714,0.0,39014000
2016-01-06,36.928287506103516,0.0,37.105079067909166,36.19828255641287,36.251916377271826,0.0,38940000
2016-01-07,36.07264709472656,0.0,36.6740309632769,35.70863723789701,36.26731409214426,0.0,59274000
2016-01-08,35.48069763183594,0.0,36.41232206078351,35.40769940143087,36.32392626934838,0.0,49018000
2016-01-11,35.55816650390625,0.0,35.6984570767674,34.93791076790848,35.58697252166209,0.0,41812000
2016-01-12,36.056758880615234,0.0,36.189847007826735,35.62208086488032,35.83874926044054,0.0,40490000
2016-01-13,34.78992462158203,0.0,36.48730867562546,34.693087452634224,36.294130666581985,0.0,50034000
2016-01-14,35.493106842041016,0.0,35.850906842301676,34.220815400259404,35.02928192350369,0.0,44516000
2016-01-15,34.48649978637695,0.0,35.09682512494133,34.03558693428019,34.37923213772879,0.0,72162000
2016-01-19,34.85100555419922,0.0,35.25772240268522,34.43485466918967,34.925992883867536,0.0,45362000
2016-01-20,34.685142517089844,0.0,35.10228608047107,33.434200578260224,34.196485922293355,0.0,68900000
2016-01-21,35.08937072753906,0.0,35.71508980386862,34.48699426027191,34.870372271277816,0.0,48244000
2016-01-22,36.01603317260742,0.0,36.15905543910222,35.76132555360703,35.93409345082716,0.0,40236000
2016-01-25,35.341644287109375,0.0,36.2360249686787,35.25920824358848,35.9330977040556,0.0,34234000
2016-01-26,35.40968322753906,0.0,35.66990351351016,35.08391343561902,35.449908596284224,0.0,26634000
2016-01-27,34.761619567871094,0.0,35.667669803909426,34.4835238531036,35.44096875359453,0.0,43884000
2016-01-28,36.299591064453125,0.0,36.43516460525256,35.37541545202537,35.86556099114007,0.0,53528000
2016-01-29,36.89501190185547,0.0,36.996319801946974,36.09300144524637,36.32789377038842,0.0,69486000
2016-02-01,37.34444046020508,0.0,37.635452072033225,36.9109104873707,37.26796414382612,0.0,102784000
2016-02-02,37.97264099121094,0.0,39.22507185088541,37.97264099121094,38.95839550836461,0.0,126962000
2016-02-03,36.100460052490234,0.0,38.46179974734325,35.780153626398224,38.24925731360211,0.0,123420000
2016-02-04,35.15989685058594,0.0,36.10294068434929,34.85448408893123,35.89486521657464,0.0,103374000
2016-02-05,33.94620132446289,0.0,34.960261839095836,33.776362129511845,34.95430210381001,0.0,102114000
2016-02-08,33.90497970581055,0.0,33.96904022300399,32.92766657533691,33.165540688861455,0.0,84948000
2016-02-09,33.675048828125,0.0,34.75714411366565,33.21122388414213,33.38751911509488,0.0,72178000
2016-02-10,33.9735107421875,0.0,34.82716600316446,33.87468447537826,34.10957682560723,0.0,52760000
2016-02-11,33.92335510253906,0.0,34.233234816573464,33.21609781881839,33.52061263445481,0.0,60480000
2016-02-12,33.888092041015625,0.0,34.451735916505086,33.69938479742999,34.278422443487614,0.0,42828000
2016-02-16,34.31516647338867,0.0,34.66278983292803,34.019687943849426,34.413492610725214,0.0,50400000
2016-02-17,35.179256439208984,0.0,35.24629871780595,34.334042555144286,34.6672610553039,0.0,49852000
2016-02-18,34.630516052246094,0.0,35.37541852050044,34.56496275580985,35.258716830705666,0.0,37664000
2016-02-19,34.80730438232422,0.0,34.9151138191481,34.46663338174589,34.51530012629001,0.0,31786000
2016-02-22,35.08292007446289,0.0,35.41961288290493,34.88676031185089,35.132083150131244,0.0,38996000
2016-02-23,34.55602264404297,0.0,35.1792563018415,34.443295381691655,34.83411833377464,0.0,40186000
2016-02-24,34.74026107788086,0.0,34.762110911083134,33.80764412066914,34.21187550683479,0.0,39272000
2016-02-25,35.04765701293945,0.0,35.05908015327448,34.29456328013875,34.76260893230726,0.0,32844000
2016-02-26,35.01388931274414,0.0,35.42904750419384,34.80481744189124,35.18819543594479,0.0,44870000
2016-02-29,34.651371002197266,0.0,35.3029105612111,34.64690025402823,34.778003049700374,0.0,49622000
2016-03-01,35.69622039794922,0.0,35.69622039794922,34.75069122072443,34.941883910568976,0.0,43028000
2016-03-02,35.69820785522461,0.0,35.75531597961434,35.358033175444106,35.70565657628546,0.0,32580000
2016-03-03,35.37888717651367,0.0,35.727999532476495,35.06106247721369,35.68975948419627,0.0,39160000
2016-03-04,35.30290985107422,0.0,35.58100932544227,35.061065112612056,35.50651832715137,0.0,39442000
2016-03-07,34.521759033203125,0.0,35.16391384406222,34.11156786682855,35.10477114691072,0.0,59702000
2016-03-08,34.46266174316406,0.0,34.95032183195537,34.03409130215065,34.19548909040987,0.0,41526000
2016-03-09,35.022335052490234,0.0,35.044184888113556,34.464154536935126,34.68613477264433,0.0,28430000
2016-03-10,35.39875411987305,0.0,35.578523656695694,34.92896943034372,35.165350761535024,0.0,56670000
2016-03-11,36.093997955322266,0.0,36.09896503229583,35.61254384446137,35.75531605010195,0.0,39416000
2016-03-14,36.276248931884766,0.0,36.52504603919354,36.011061609000166,36.09349764933739,0.0,34366000
2016-03-15,36.168983459472656,0.0,36.365635747979944,35.992191900318694,36.09896321163235,0.0,34420000
2016-03-16,36.55434799194336,0.0,36.62287925567765,35.97928097114957,36.07165117293208,0.0,32488000
2016-03-17,36.63827133178711,0.0,36.90097323436152,36.54987555335765,36.57222171516713,0.0,37216000
2016-03-18,36.629337310791016,0.0,36.84783945175366,36.34279644243667,36.840887059239805,0.0,59614000
2016-03-21,36.85231018066406,0.0,36.872671029356034,36.42652444622926,36.57471080909499,0.0,36730000
2016-03-22,36.7857666015625,0.0,36.996823823445865,36.62238726141863,36.62238726141863,0.0,25394000
2016-03-23,36.65217971801758,0.0,37.032575990034935,36.55732786723966,36.86571857009246,0.0,28642000
2016-03-24,36.51511764526367,0.0,36.636634859103424,36.30157879048792,36.35173452511863,0.0,31898000
2016-03-28,36.42721939086914,0.0,36.69836649944435,36.3760709968585,36.589113529837626,0.0,26026000
2016-03-29,36.98539733886719,0.0,37.10855508550896,36.19033918031834,36.47985801406075,0.0,38076000
2016-03-30,37.27144241333008,0.0,37.63644491036666,37.18255029822002,37.25008890720271,0.0,35648000
2016-03-31,36.99433898925781,0.0,37.2873321260001,36.79520125497996,37.207877837081895,0.0,34376000
2016-04-01,37.24065399169922,0.0,37.26200749949508,36.599541062641634,36.67899914736391,0.0,31534000
2016-04-04,37.01122283935547,0.0,37.384170393621275,36.86919322624263,37.248100515387904,0.0,22684000
2016-04-05,36.63926696777344,0.0,36.887567778114835,36.51859465317728,36.649201121898116,0.0,22646000
2016-04-06,37.03108596801758,0.0,37.05839920840653,36.528028289298945,36.538458772138554,0.0,21074000
2016-04-07,36.76242446899414,0.0,37.09613930096968,36.563783064297894,37.01519602587516,0.0,29064000
2016-04-08,36.70630645751953,0.0,37.019164090813526,36.52752958456028,36.94566954197142,0.0,25816000
2016-04-11,36.554847717285156,0.0,36.99682288217193,36.5523660729952,36.898496725510846,0.0,24402000
2016-04-12,36.90196990966797,0.0,36.93872097666553,36.302075044404184,36.649202132890416,0.0,27060000
2016-04-13,37.330535888671875,0.0,37.46263513375988,36.96012302814086,37.203407509457655,0.0,34142000
2016-04-14,37.40403366088867,0.0,37.608138471402825,37.37945212331529,37.44425902840048,0.0,22706000
2016-04-15,37.69206237792969,0.0,37.79138118289664,37.3789054195968,37.44276891912083,0.0,36186000
2016-04-18,38.069976806640625,0.0,38.14148604277949,37.60764083824211,37.76456409470071,0.0,31176000
2016-04-19,37.44028854370117,0.0,38.2333614704402,37.211852230404546,38.213993277887624,0.0,40610000
2016-04-20,37.37771224975586,0.0,37.64895784145684,37.24561679838343,37.64240327008515,0.0,30584000
2016-04-21,37.69901657104492,0.0,37.76406974731523,37.222775793477915,37.512294632423504,0.0,61210000
2016-04-22,35.69423294067383,0.0,36.555837026607946,35.43798708893476,36.06817313006497,0.0,119038000
2016-04-25,35.9117431640625,0.0,35.95047575201193,35.536310231215296,35.56163815359052,0.0,39184000
2016-04-26,35.166351318359375,0.0,36.041659479672205,34.91238627807854,36.02447740782972,0.0,54892000
2016-04-27,35.052127838134766,0.0,35.20806222878239,34.382959139206434,35.12413340448455,0.0,61972000
2016-04-28,34.316165924072266,0.0,35.4657999565338,34.24316769414452,35.172306683936974,0.0,57346000
2016-04-29,34.41499328613281,0.0,34.64392592663481,34.21585553317397,34.300276907059605,0.0,49754000
2016-05-02,34.673221588134766,0.0,34.793897692387354,34.31517148357974,34.64441936074699,0.0,32906000
2016-05-03,34.38270950317383,0.0,34.654845460963834,34.364830299186316,34.60667504360905,0.0,30876000
2016-05-04,34.5485725402832,0.0,34.749695578469805,34.21634671236012,34.2898450511775,0.0,33870000
2016-05-05,34.833126068115234,0.0,34.87732585493973,34.549566969408005,34.647893119559654,0.0,33670000
2016-05-06,35.314334869384766,0.0,35.35108214728756,34.66810714403034,34.681663362231824,0.0,36586000
2016-05-09,35.402732849121094,0.0,35.69125905052695,35.258717912852816,35.3580367294937,0.0,30206000
2016-05-10,35.91324234008789,0.0,35.92913244279263,35.542776378602646,35.59392856663714,0.0,31392000
2016-05-11,35.521419525146484,0.0,35.977795810581085,35.3977654399883,35.92466210067336,0.0,33842000
2016-05-12,35.423091888427734,0.0,35.71807413882659,35.20905670482791,35.609317501688,0.0,27214000
2016-05-13,35.29993438720703,0.0,35.58955174161818,35.22196908168941,35.35456087058506,0.0,26290000
2016-05-16,35.58101272583008,0.0,35.67983521167028,35.04269671796489,35.2155138803553,0.0,26342000
2016-05-17,35.07149124145508,0.0,35.83079466565761,34.966212714800506,35.556173315835636,0.0,40024000
2016-05-18,35.09136199951172,0.0,35.33817382812671,34.79340177910785,34.94436531028026,0.0,35336000
2016-05-19,34.77800369262695,0.0,35.06007380838088,34.60320122475581,34.87931160576405,0.0,33404000
2016-05-20,35.24580001831055,0.0,35.486155758680404,34.787934816901064,34.842561293747366,0.0,36568000
2016-05-23,34.972679138183594,0.0,35.33211597929985,34.969697376027796,35.08639907605692,0.0,26614000
2016-05-24,35.759788513183594,0.0,35.80348818409172,35.10278173041036,35.10278173041036,0.0,38590000
2016-05-25,36.01702880859375,0.0,36.12826709547614,35.74066834804282,35.79305945945323,0.0,32584000
