Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,,
2015-11-18,14.73799991607666,0.0,14.7586669921875,14.168000221252441,14.300000190734863,0.0,42178500
2015-11-19,14.786666870117188,0.0,15.079333305358887,14.686667442321777,14.702667236328125,0.0,37566000
2015-11-20,14.667332649230957,0.0,15.0,14.238666534423828,14.899333000183105,0.0,66010500
2015-11-23,14.516667366027832,0.0,14.612000465393066,14.312000274658203,14.489999771118164,0.0,37893000
2015-11-24,14.550000190734863,0.0,14.733332633972168,14.333333015441895,14.357999801635742,0.0,37204500
2015-11-25,15.309332847595215,0.0,15.388667106628418,14.692000389099121,14.755999565124512,0.0,59862000
2015-11-27,15.440667152404785,0.0,15.483332633972168,15.133999824523926,15.404000282287598,0.0,29241000
2015-11-30,15.350666999816895,0.0,15.618666648864746,15.272000312805176,15.452667236328125,0.0,39897000
2015-12-01,15.812666893005371,0.0,15.866666793823242,15.403332710266113,15.404000282287598,0.0,56010000
2015-12-02,15.465999603271484,0.0,15.90666675567627,15.415332794189453,15.800000190734863,0.0,44722500
2015-12-03,15.513999938964844,0.0,15.829999923706055,15.333333015441895,15.6986665725708,0.0,44094000
2015-12-04,15.358667373657227,0.0,15.5513334274292,15.177332878112793,15.497332572937012,0.0,38604000
2015-12-07,15.408666610717773,0.0,15.708666801452637,15.076666831970215,15.180000305175781,0.0,47163000
2015-12-08,15.114666938781738,0.0,15.25333309173584,14.946666717529297,15.168000221252441,0.0,40314000
2015-12-09,14.968000411987305,0.0,15.166666984558105,14.714667320251465,15.113332748413086,0.0,45867000
2015-12-10,15.137999534606934,0.0,15.232666969299316,14.909333229064941,14.980667114257812,0.0,31075500
2015-12-11,14.468000411987305,0.0,15.050000190734863,14.442667007446289,15.015999794006348,0.0,49030500
2015-12-14,14.571999549865723,0.0,14.727999687194824,14.324666976928711,14.500666618347168,0.0,42406500
2015-12-15,14.739333152770996,0.0,14.814666748046875,14.533332824707031,14.788000106811523,0.0,33666000
2015-12-16,15.633999824523926,0.0,15.658666610717773,14.715332984924316,14.80666732788086,0.0,76564500
2015-12-17,15.559332847595215,0.0,15.850666999816895,15.320667266845703,15.595999717712402,0.0,49479000
2015-12-18,15.36400032043457,0.0,15.726667404174805,15.28600025177002,15.526000022888184,0.0,45213000
2015-12-21,15.503999710083008,0.0,15.722000122070312,15.405332565307617,15.446000099182129,0.0,29298000
2015-12-22,15.329999923706055,0.0,15.770000457763672,15.308667182922363,15.666000366210938,0.0,29422500
2015-12-23,15.313332557678223,0.0,15.563332557678223,15.208666801452637,15.478667259216309,0.0,23325000
2015-12-24,15.371333122253418,0.0,15.458666801452637,15.218667030334473,15.370667457580566,0.0,10620000
2015-12-28,15.263333320617676,0.0,15.465332984924316,15.03600025177002,15.432666778564453,0.0,28519500
2015-12-29,15.812666893005371,0.0,15.847999572753906,15.303333282470703,15.337332725524902,0.0,36094500
