Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,UNH,UNH,UNH,UNH,UNH,UNH,UNH
Date,,,,,,,
2015-11-18,100.13038635253906,0.0,100.36950265061357,97.14141959574685,97.56841484671716,0.0,3319900
2015-11-19,94.47693634033203,0.0,97.10722779965563,93.60586917675258,93.75958767802287,0.0,15731900
2015-11-20,96.47529602050781,0.0,97.73066294434079,94.45133643765162,94.69899443419408,0.0,7059400
2015-11-23,95.7835464477539,0.0,97.77333871372106,95.7323026039315,96.47527644278726,0.0,3780400
2015-11-24,96.66315460205078,0.0,96.88518736702908,94.84415127269746,95.11742788111007,0.0,3244800
2015-11-25,97.70504760742188,0.0,98.25160095794004,96.50091798131069,96.90229452334775,0.0,2959200
2015-11-27,97.64525604248047,0.0,98.97748545377559,97.42322323678918,97.77335590141281,0.0,1740400
2015-11-30,96.25323486328125,0.0,98.05515471031826,96.17637887252457,97.8331154335298,0.0,4605200
2015-12-01,99.28490447998047,0.0,99.3788439251105,96.54359666450974,96.95350832014236,0.0,5467000
2015-12-02,100.89736938476562,0.5,102.38972919520698,99.58512140113855,99.69661732909816,0.0,6071100
2015-12-03,98.6330795288086,0.0,101.44626544578932,98.14420278766953,101.03458321302543,0.0,4286600
2015-12-04,100.9831314086914,0.0,101.42054956459509,98.83893374347798,99.13912010789346,0.0,3588200
2015-12-07,99.41355895996094,0.0,101.11175942395178,98.80460121618616,101.11175942395178,0.0,3164300
2015-12-08,99.38784790039062,0.0,99.79095810873905,97.73252703980215,98.59020610656152,0.0,3551900
2015-12-09,98.67595672607422,0.0,100.19404544857468,98.34146248986953,98.97614302221041,0.0,3839100
2015-12-10,99.67086029052734,0.0,100.39131394104247,98.06699845449035,98.67595620804607,0.0,3202600
2015-12-11,99.4736099243164,0.0,100.64004730465676,98.30716600040479,99.67087242322383,0.0,3830800
2015-12-14,99.36209869384766,0.0,100.12543238704116,98.14419623319854,99.3878280137307,0.0,3867200
2015-12-15,100.87162780761719,0.0,101.6349615948438,100.05683537428543,100.23694717922493,0.0,3124100
2015-12-16,101.91798400878906,0.0,102.71562563775943,100.26266349032672,101.46341524432962,0.0,3516900
2015-12-17,102.25247192382812,0.0,103.85632716003077,101.75501662825319,101.91797770111366,0.0,3945800
2015-12-18,99.33637237548828,0.0,101.94371708074081,99.33637237548828,101.72929735047568,0.0,7574800
2015-12-21,100.70008087158203,0.0,101.00883924961514,99.49075050470577,99.97962720664987,0.0,3185200
2015-12-22,100.725830078125,0.0,101.49773599096645,99.67088196376483,101.36908936787412,0.0,2821600
2015-12-23,101.79792022705078,0.0,101.91799476076143,100.82016671336619,101.12035304764281,0.0,2479600
2015-12-24,101.49771118164062,0.0,102.21816481271482,101.45483116561506,101.66067225582043,0.0,900100
2015-12-28,101.48915100097656,0.0,101.72930005829444,100.67435207813831,101.4291137366471,0.0,1582600
2015-12-29,102.76708984375,0.0,103.27312381861724,101.80648707980079,101.95229747202619,0.0,2027600
2015-12-30,101.99515533447266,0.0,103.0157951404639,101.77216357094127,102.94717927003752,0.0,1747700
2015-12-31,100.89736938476562,0.0,102.38115711552936,100.65722028234659,101.75504848973206,0.0,2372500
2016-01-04,99.88529968261719,0.0,100.27125917471017,98.22997888246677,100.27125917471017,0.0,4991000
2016-01-05,100.07398223876953,0.0,101.11177300472544,99.67087207687524,100.10829018271492,0.0,2816800
2016-01-06,99.0533218383789,0.0,100.04823237783667,98.20422166664851,99.30204947324334,0.0,2677300
2016-01-07,96.1372299194336,0.0,97.85258781149082,95.56258659605147,97.45805628154619,0.0,5277200
2016-01-08,94.48191833496094,0.0,96.91772346520771,94.13884543875923,96.36023082682634,0.0,4422400
2016-01-11,93.98445892333984,0.0,94.87644579769957,92.79228573154438,94.78210059170964,0.0,4525800
2016-01-12,96.28303527832031,0.0,97.02921173445897,94.38756569194781,94.65344405737002,0.0,4037800
2016-01-13,93.68429565429688,0.0,96.95205109466865,93.42698929400841,96.41171559034993,0.0,3434300
2016-01-14,94.99652862548828,0.0,95.88851557779,92.20907185338476,93.26401336735005,0.0,4238200
